Class	variable	value
TB	cg18644543	9
TB	cg18644543	4
TB	cg18644543	4
TB	cg18644543	4
TB	cg18644543	4
TB	cg18644543	5
TB	cg18644543	5
TB	cg18644543	4
TB	cg18644543	4
TB	cg18644543	4
TB	cg18644543	4
TB	cg18644543	3
TB	cg18644543	5
TB	cg18644543	5
TB	cg18644543	4
TB	cg18644543	3
TB	cg18644543	4
TB	cg18644543	3
TB	cg18644543	5
TB	cg18644543	4
TB	cg18644543	4
TB	cg18644543	4
HC	cg18644543	2
HC	cg18644543	1
HC	cg18644543	2
HC	cg18644543	0
HC	cg18644543	0
HC	cg18644543	6
HC	cg18644543	7
HC	cg18644543	8
HC	cg18644543	8
HC	cg18644543	8
HC	cg18644543	7
HC	cg18644543	8
HC	cg18644543	7
HC	cg18644543	7
HC	cg18644543	7
HC	cg18644543	8
HC	cg18644543	8
HC	cg18644543	8
HC	cg18644543	8
HC	cg18644543	7
HC	cg18644543	7
HC	cg18644543	8
HC	cg18644543	8
HC	cg18644543	8
HC	cg18644543	7
HC	cg18644543	8
HC	cg18644543	49
HC	cg18644543	49
HC	cg18644543	46
HC	cg18644543	45
HC	cg18644543	50
HC	cg18644543	47
HC	cg18644543	43
HC	cg18644543	47
HC	cg18644543	48
HC	cg18644543	50
HC	cg18644543	43
HC	cg18644543	45
HC	cg18644543	46
HC	cg18644543	45
HC	cg18644543	46
HC	cg18644543	49
HC	cg18644543	5
HC	cg18644543	10
HC	cg18644543	9
HC	cg18644543	6
HC	cg18644543	10
HC	cg18644543	52
HC	cg18644543	51
HC	cg18644543	52
HC	cg18644543	51
HC	cg18644543	49
HC	cg18644543	48
HC	cg18644543	51
HC	cg18644543	46
HC	cg18644543	44
HC	cg18644543	49
HC	cg18644543	50
HC	cg18644543	51
HC	cg18644543	47
HC	cg18644543	47
HC	cg18644543	51
HC	cg18644543	49
HC	cg18644543	49
HC	cg18644543	51
HC	cg18644543	51
HC	cg18644543	46
HC	cg18644543	49
HC	cg18644543	45
HC	cg18644543	48
HC	cg18644543	47
HC	cg18644543	46
HC	cg18644543	50
HC	cg18644543	48
HC	cg18644543	49
HC	cg18644543	4
HC	cg18644543	4
HC	cg18644543	4
HC	cg18644543	4
HC	cg18644543	3
HC	cg18644543	4
HC	cg18644543	5
HC	cg18644543	4
HC	cg18644543	5
HC	cg18644543	5
HC	cg18644543	4
HC	cg18644543	4
HC	cg18644543	8
HC	cg18644543	7
HC	cg18644543	8
HC	cg18644543	5
HC	cg18644543	6
HC	cg18644543	7
HC	cg18644543	5
HC	cg18644543	7
HC	cg18644543	6
HC	cg18644543	8
HC	cg18644543	10
HC	cg18644543	5
HC	cg18644543	8
HC	cg18644543	8
HC	cg18644543	4
HC	cg18644543	10
HC	cg18644543	5
HC	cg18644543	8
HC	cg18644543	7
TB	cg19616230	31
TB	cg19616230	31
TB	cg19616230	31
TB	cg19616230	25
TB	cg19616230	26
TB	cg19616230	26
TB	cg19616230	31
TB	cg19616230	30
TB	cg19616230	28
TB	cg19616230	27
TB	cg19616230	30
TB	cg19616230	27
TB	cg19616230	29
TB	cg19616230	31
TB	cg19616230	29
TB	cg19616230	30
TB	cg19616230	28
TB	cg19616230	31
TB	cg19616230	30
TB	cg19616230	29
TB	cg19616230	32
TB	cg19616230	25
TB	cg19616230	32
TB	cg19616230	31
TB	cg19616230	29
TB	cg19616230	28
TB	cg19616230	28
TB	cg19616230	27
TB	cg19616230	31
TB	cg19616230	31
TB	cg19616230	29
TB	cg19616230	26
TB	cg19616230	0
TB	cg19616230	0
TB	cg19616230	0
TB	cg19616230	0
TB	cg19616230	16.5
TB	cg19616230	16.5
TB	cg19616230	0
TB	cg19616230	0
TB	cg19616230	0
TB	cg19616230	9
TB	cg19616230	17
TB	cg19616230	9
TB	cg19616230	11
TB	cg19616230	4
TB	cg19616230	11
TB	cg19616230	17
TB	cg19616230	6
TB	cg19616230	6
TB	cg19616230	5
TB	cg19616230	4
TB	cg19616230	7
TB	cg19616230	10
TB	cg19616230	4
TB	cg19616230	4
TB	cg19616230	5
TB	cg19616230	12
TB	cg19616230	8
TB	cg19616230	5
TB	cg19616230	7
TB	cg19616230	7
TB	cg19616230	6
TB	cg19616230	4
TB	cg19616230	6
TB	cg19616230	6
TB	cg19616230	7
TB	cg19616230	13
TB	cg19616230	6
TB	cg19616230	7
TB	cg19616230	8
TB	cg19616230	7
TB	cg19616230	12
TB	cg19616230	9
TB	cg19616230	6
TB	cg19616230	6
TB	cg19616230	8
TB	cg19616230	5
TB	cg19616230	6
TB	cg19616230	4
TB	cg19616230	9
TB	cg19616230	8
TB	cg19616230	4
TB	cg19616230	4
TB	cg19616230	4
TB	cg19616230	6
TB	cg19616230	8
TB	cg19616230	21
TB	cg19616230	10
TB	cg19616230	19
TB	cg19616230	5
TB	cg19616230	4
TB	cg19616230	6
TB	cg19616230	11
TB	cg19616230	7
TB	cg19616230	4
TB	cg19616230	5
TB	cg19616230	4
HC	cg19616230	6
HC	cg19616230	5
HC	cg19616230	12
HC	cg19616230	10
HC	cg19616230	7
HC	cg19616230	39
HC	cg19616230	33
HC	cg19616230	26
HC	cg19616230	28
HC	cg19616230	30
HC	cg19616230	30
HC	cg19616230	42
HC	cg19616230	41
HC	cg19616230	40
HC	cg19616230	28
HC	cg19616230	28
HC	cg19616230	30
HC	cg19616230	41
HC	cg19616230	29
HC	cg19616230	32
HC	cg19616230	38
HC	cg19616230	32
HC	cg19616230	31
HC	cg19616230	29
HC	cg19616230	35
HC	cg19616230	32
HC	cg19616230	39
HC	cg19616230	39
HC	cg19616230	35
HC	cg19616230	39
HC	cg19616230	45
HC	cg19616230	38
HC	cg19616230	42
HC	cg19616230	36
HC	cg19616230	40
HC	cg19616230	43
HC	cg19616230	41
HC	cg19616230	40
HC	cg19616230	39
HC	cg19616230	44
HC	cg19616230	39
HC	cg19616230	41
HC	cg19616230	15
HC	cg19616230	30
HC	cg19616230	26
HC	cg19616230	35
HC	cg19616230	29
HC	cg19616230	33
HC	cg19616230	35
HC	cg19616230	32
HC	cg19616230	34
HC	cg19616230	33
HC	cg19616230	32
HC	cg19616230	37
HC	cg19616230	34
HC	cg19616230	33
HC	cg19616230	34
HC	cg19616230	39
HC	cg19616230	36
HC	cg19616230	36
HC	cg19616230	35
HC	cg19616230	37
HC	cg19616230	39
HC	cg19616230	40
HC	cg19616230	36
HC	cg19616230	38
HC	cg19616230	34
HC	cg19616230	36
HC	cg19616230	31
HC	cg19616230	33
HC	cg19616230	31
HC	cg19616230	30
HC	cg19616230	36
HC	cg19616230	32
HC	cg19616230	34
HC	cg19616230	15
HC	cg19616230	6
HC	cg19616230	11
HC	cg19616230	4
HC	cg19616230	7
HC	cg19616230	12
HC	cg19616230	5
HC	cg19616230	8
HC	cg19616230	5
HC	cg19616230	7
HC	cg19616230	5
HC	cg19616230	11
HC	cg19616230	9
HC	cg19616230	7
HC	cg19616230	12
HC	cg19616230	13
HC	cg19616230	9
HC	cg19616230	8
HC	cg19616230	4
HC	cg19616230	8
HC	cg19616230	14
HC	cg19616230	10
HC	cg19616230	4
HC	cg19616230	9
HC	cg19616230	7
HC	cg19616230	6
HC	cg19616230	9
HC	cg19616230	8
HC	cg19616230	8
HC	cg19616230	13
HC	cg19616230	5
TB	cg20098659	89
TB	cg20098659	92
TB	cg20098659	85
TB	cg20098659	67
TB	cg20098659	39
TB	cg20098659	91
TB	cg20098659	35
TB	cg20098659	62
TB	cg20098659	26
TB	cg20098659	45
TB	cg20098659	61
TB	cg20098659	85
TB	cg20098659	30
TB	cg20098659	39
TB	cg20098659	71
TB	cg20098659	47
TB	cg20098659	40
TB	cg20098659	67
TB	cg20098659	36
TB	cg20098659	53
TB	cg20098659	38
TB	cg20098659	85
TB	cg20098659	28
TB	cg20098659	55
TB	cg20098659	88
TB	cg20098659	20
TB	cg20098659	57
TB	cg20098659	46
TB	cg20098659	69
TB	cg20098659	35
TB	cg20098659	45
TB	cg20098659	88
TB	cg20098659	87.5
TB	cg20098659	100
TB	cg20098659	92.5
TB	cg20098659	100
TB	cg20098659	100
TB	cg20098659	83
TB	cg20098659	92.5
TB	cg20098659	100
TB	cg20098659	100
TB	cg20098659	47
TB	cg20098659	49
TB	cg20098659	57
TB	cg20098659	62
TB	cg20098659	52
TB	cg20098659	64
TB	cg20098659	52
TB	cg20098659	56
TB	cg20098659	50
TB	cg20098659	49
TB	cg20098659	45
TB	cg20098659	48
TB	cg20098659	49
TB	cg20098659	56
TB	cg20098659	53
TB	cg20098659	59
TB	cg20098659	52
TB	cg20098659	43
TB	cg20098659	46
TB	cg20098659	50
TB	cg20098659	46
TB	cg20098659	51
TB	cg20098659	35
TB	cg20098659	56
TB	cg20098659	44
TB	cg20098659	43
TB	cg20098659	56
TB	cg20098659	33
TB	cg20098659	68
TB	cg20098659	50
TB	cg20098659	48
TB	cg20098659	52
TB	cg20098659	59
TB	cg20098659	42
TB	cg20098659	52
TB	cg20098659	49
TB	cg20098659	42
TB	cg20098659	52
TB	cg20098659	53
TB	cg20098659	56
TB	cg20098659	43
TB	cg20098659	56
TB	cg20098659	61
TB	cg20098659	49
TB	cg20098659	62
TB	cg20098659	47
TB	cg20098659	56
TB	cg20098659	57
TB	cg20098659	61
TB	cg20098659	42
TB	cg20098659	37
TB	cg20098659	25
TB	cg20098659	52
TB	cg20098659	50
TB	cg20098659	55
TB	cg20098659	53
TB	cg20098659	50
HC	cg20098659	91
HC	cg20098659	91
HC	cg20098659	93
HC	cg20098659	94
HC	cg20098659	90
HC	cg20098659	92
HC	cg20098659	95
HC	cg20098659	91
HC	cg20098659	94
HC	cg20098659	96
HC	cg20098659	93
HC	cg20098659	92
HC	cg20098659	93
HC	cg20098659	95
HC	cg20098659	93
HC	cg20098659	94
HC	cg20098659	92
HC	cg20098659	92
HC	cg20098659	93
HC	cg20098659	91
HC	cg20098659	94
HC	cg20098659	94
HC	cg20098659	94
HC	cg20098659	95
HC	cg20098659	95
HC	cg20098659	80
HC	cg20098659	88
HC	cg20098659	90
HC	cg20098659	90
HC	cg20098659	86
HC	cg20098659	86
HC	cg20098659	89
HC	cg20098659	88
HC	cg20098659	79
HC	cg20098659	59
HC	cg20098659	81
HC	cg20098659	81
HC	cg20098659	88
HC	cg20098659	91
HC	cg20098659	75
HC	cg20098659	81
HC	cg20098659	65
HC	cg20098659	55
HC	cg20098659	55
HC	cg20098659	55
HC	cg20098659	68
HC	cg20098659	63
HC	cg20098659	89
HC	cg20098659	88
HC	cg20098659	88
HC	cg20098659	88
HC	cg20098659	90
HC	cg20098659	89
HC	cg20098659	94
HC	cg20098659	87
HC	cg20098659	89
HC	cg20098659	91
HC	cg20098659	88
HC	cg20098659	90
HC	cg20098659	90
HC	cg20098659	90
HC	cg20098659	88
HC	cg20098659	91
HC	cg20098659	90
HC	cg20098659	90
HC	cg20098659	90
HC	cg20098659	93
HC	cg20098659	89
HC	cg20098659	92
HC	cg20098659	89
HC	cg20098659	91
HC	cg20098659	89
HC	cg20098659	89
HC	cg20098659	88
HC	cg20098659	86
HC	cg20098659	49
HC	cg20098659	61
HC	cg20098659	53
HC	cg20098659	52
HC	cg20098659	58
HC	cg20098659	53
HC	cg20098659	62
HC	cg20098659	43
HC	cg20098659	38
HC	cg20098659	52
HC	cg20098659	55
HC	cg20098659	53
HC	cg20098659	57
HC	cg20098659	31
HC	cg20098659	28
HC	cg20098659	34
HC	cg20098659	49
HC	cg20098659	45
HC	cg20098659	42
HC	cg20098659	42
HC	cg20098659	44
HC	cg20098659	37
HC	cg20098659	33
HC	cg20098659	36
HC	cg20098659	31
HC	cg20098659	33
HC	cg20098659	51
HC	cg20098659	47
HC	cg20098659	33
HC	cg20098659	44
HC	cg20098659	38
TB	cg21184174	38
TB	cg21184174	36
TB	cg21184174	47
TB	cg21184174	39
TB	cg21184174	37
TB	cg21184174	36
TB	cg21184174	34
TB	cg21184174	34
TB	cg21184174	36
TB	cg21184174	35
TB	cg21184174	36
TB	cg21184174	39
TB	cg21184174	35
TB	cg21184174	34
TB	cg21184174	37
TB	cg21184174	29
TB	cg21184174	28
TB	cg21184174	37
TB	cg21184174	38
TB	cg21184174	34
TB	cg21184174	38
TB	cg21184174	33
TB	cg21184174	38
TB	cg21184174	39
TB	cg21184174	36
TB	cg21184174	39
TB	cg21184174	37
TB	cg21184174	39
TB	cg21184174	35
TB	cg21184174	37
TB	cg21184174	37
TB	cg21184174	38
TB	cg21184174	0
TB	cg21184174	0
TB	cg21184174	0
TB	cg21184174	0
TB	cg21184174	25
TB	cg21184174	0
TB	cg21184174	0
TB	cg21184174	0
TB	cg21184174	0
TB	cg21184174	10
TB	cg21184174	4
TB	cg21184174	8
TB	cg21184174	11
TB	cg21184174	6
TB	cg21184174	10
TB	cg21184174	7
TB	cg21184174	3
TB	cg21184174	8
TB	cg21184174	10
TB	cg21184174	5
TB	cg21184174	7
TB	cg21184174	4
TB	cg21184174	5
TB	cg21184174	15
TB	cg21184174	8
TB	cg21184174	5
TB	cg21184174	8
TB	cg21184174	6
TB	cg21184174	6
TB	cg21184174	5
TB	cg21184174	5
TB	cg21184174	7
TB	cg21184174	5
TB	cg21184174	5
TB	cg21184174	8
TB	cg21184174	6
TB	cg21184174	6
TB	cg21184174	6
TB	cg21184174	5
TB	cg21184174	9
TB	cg21184174	6
TB	cg21184174	6
TB	cg21184174	5
TB	cg21184174	6
TB	cg21184174	9
TB	cg21184174	7
TB	cg21184174	5
TB	cg21184174	6
TB	cg21184174	5
TB	cg21184174	9
TB	cg21184174	9
TB	cg21184174	6
TB	cg21184174	19
TB	cg21184174	5
TB	cg21184174	4
TB	cg21184174	4
TB	cg21184174	8
TB	cg21184174	7
TB	cg21184174	6
TB	cg21184174	8
TB	cg21184174	7
TB	cg21184174	6
TB	cg21184174	5
TB	cg21184174	6
TB	cg21184174	4
TB	cg21184174	6
HC	cg21184174	6
HC	cg21184174	5
HC	cg21184174	12
HC	cg21184174	6
HC	cg21184174	9
HC	cg21184174	29
HC	cg21184174	31
HC	cg21184174	28
HC	cg21184174	31
HC	cg21184174	29
HC	cg21184174	31
HC	cg21184174	33
HC	cg21184174	40
HC	cg21184174	37
HC	cg21184174	29
HC	cg21184174	30
HC	cg21184174	28
HC	cg21184174	37
HC	cg21184174	38
HC	cg21184174	32
HC	cg21184174	35
HC	cg21184174	29
HC	cg21184174	33
HC	cg21184174	30
HC	cg21184174	29
HC	cg21184174	28
HC	cg21184174	42
HC	cg21184174	46
HC	cg21184174	52
HC	cg21184174	48
HC	cg21184174	43
HC	cg21184174	46
HC	cg21184174	45
HC	cg21184174	43
HC	cg21184174	41
HC	cg21184174	49
HC	cg21184174	47
HC	cg21184174	51
HC	cg21184174	46
HC	cg21184174	41
HC	cg21184174	44
HC	cg21184174	37
HC	cg21184174	23
HC	cg21184174	26
HC	cg21184174	23
HC	cg21184174	18
HC	cg21184174	14
HC	cg21184174	39
HC	cg21184174	46
HC	cg21184174	40
HC	cg21184174	43
HC	cg21184174	45
HC	cg21184174	41
HC	cg21184174	41
HC	cg21184174	39
HC	cg21184174	41
HC	cg21184174	44
HC	cg21184174	46
HC	cg21184174	40
HC	cg21184174	39
HC	cg21184174	38
HC	cg21184174	43
HC	cg21184174	42
HC	cg21184174	36
HC	cg21184174	44
HC	cg21184174	40
HC	cg21184174	41
HC	cg21184174	43
HC	cg21184174	41
HC	cg21184174	44
HC	cg21184174	42
HC	cg21184174	44
HC	cg21184174	40
HC	cg21184174	38
HC	cg21184174	36
HC	cg21184174	10
HC	cg21184174	10
HC	cg21184174	23
HC	cg21184174	4
HC	cg21184174	3
HC	cg21184174	7
HC	cg21184174	5
HC	cg21184174	9
HC	cg21184174	11
HC	cg21184174	11
HC	cg21184174	6
HC	cg21184174	7
HC	cg21184174	11
HC	cg21184174	14
HC	cg21184174	8
HC	cg21184174	15
HC	cg21184174	8
HC	cg21184174	9
HC	cg21184174	8
HC	cg21184174	10
HC	cg21184174	16
HC	cg21184174	15
HC	cg21184174	9
HC	cg21184174	11
HC	cg21184174	7
HC	cg21184174	14
HC	cg21184174	15
HC	cg21184174	12
HC	cg21184174	11
HC	cg21184174	14
HC	cg21184174	8
TB	cg23181133	75
TB	cg23181133	84
TB	cg23181133	81
TB	cg23181133	44
TB	cg23181133	17
TB	cg23181133	54
TB	cg23181133	19
TB	cg23181133	40
TB	cg23181133	12
TB	cg23181133	23
TB	cg23181133	37
TB	cg23181133	57
TB	cg23181133	15
TB	cg23181133	16
TB	cg23181133	46
TB	cg23181133	26
TB	cg23181133	21
TB	cg23181133	40
TB	cg23181133	21
TB	cg23181133	31
TB	cg23181133	16
TB	cg23181133	54
TB	cg23181133	13
TB	cg23181133	34
TB	cg23181133	63
TB	cg23181133	21
TB	cg23181133	25
TB	cg23181133	12
TB	cg23181133	41
TB	cg23181133	20
TB	cg23181133	21
TB	cg23181133	54
TB	cg23181133	27.5
TB	cg23181133	16.5
TB	cg23181133	42.5
TB	cg23181133	75
TB	cg23181133	66
TB	cg23181133	50
TB	cg23181133	8
TB	cg23181133	50
TB	cg23181133	57.5
TB	cg23181133	31
TB	cg23181133	38
TB	cg23181133	42
TB	cg23181133	32
TB	cg23181133	38
TB	cg23181133	32
TB	cg23181133	33
TB	cg23181133	46
TB	cg23181133	39
TB	cg23181133	33
TB	cg23181133	29
TB	cg23181133	29
TB	cg23181133	32
TB	cg23181133	41
TB	cg23181133	34
TB	cg23181133	47
TB	cg23181133	36
TB	cg23181133	31
TB	cg23181133	33
TB	cg23181133	37
TB	cg23181133	33
TB	cg23181133	39
TB	cg23181133	27
TB	cg23181133	40
TB	cg23181133	33
TB	cg23181133	38
TB	cg23181133	37
TB	cg23181133	28
TB	cg23181133	52
TB	cg23181133	31
TB	cg23181133	39
TB	cg23181133	39
TB	cg23181133	40
TB	cg23181133	36
TB	cg23181133	41
TB	cg23181133	33
TB	cg23181133	25
TB	cg23181133	34
TB	cg23181133	37
TB	cg23181133	34
TB	cg23181133	31
TB	cg23181133	34
TB	cg23181133	38
TB	cg23181133	41
TB	cg23181133	32
TB	cg23181133	31
TB	cg23181133	43
TB	cg23181133	43
TB	cg23181133	38
TB	cg23181133	34
TB	cg23181133	37
TB	cg23181133	36
TB	cg23181133	34
TB	cg23181133	33
TB	cg23181133	44
TB	cg23181133	40
TB	cg23181133	33
HC	cg23181133	67
HC	cg23181133	76
HC	cg23181133	67
HC	cg23181133	69
HC	cg23181133	72
HC	cg23181133	63
HC	cg23181133	68
HC	cg23181133	67
HC	cg23181133	68
HC	cg23181133	69
HC	cg23181133	71
HC	cg23181133	58
HC	cg23181133	57
HC	cg23181133	68
HC	cg23181133	67
HC	cg23181133	67
HC	cg23181133	68
HC	cg23181133	57
HC	cg23181133	62
HC	cg23181133	65
HC	cg23181133	65
HC	cg23181133	65
HC	cg23181133	65
HC	cg23181133	74
HC	cg23181133	61
HC	cg23181133	61
HC	cg23181133	73
HC	cg23181133	77
HC	cg23181133	75
HC	cg23181133	77
HC	cg23181133	75
HC	cg23181133	75
HC	cg23181133	73
HC	cg23181133	61
HC	cg23181133	69
HC	cg23181133	81
HC	cg23181133	73
HC	cg23181133	70
HC	cg23181133	71
HC	cg23181133	73
HC	cg23181133	76
HC	cg23181133	43
HC	cg23181133	39
HC	cg23181133	41
HC	cg23181133	30
HC	cg23181133	39
HC	cg23181133	38
HC	cg23181133	82
HC	cg23181133	79
HC	cg23181133	79
HC	cg23181133	80
HC	cg23181133	78
HC	cg23181133	79
HC	cg23181133	69
HC	cg23181133	79
HC	cg23181133	82
HC	cg23181133	77
HC	cg23181133	72
HC	cg23181133	74
HC	cg23181133	73
HC	cg23181133	73
HC	cg23181133	75
HC	cg23181133	73
HC	cg23181133	74
HC	cg23181133	74
HC	cg23181133	74
HC	cg23181133	73
HC	cg23181133	71
HC	cg23181133	85
HC	cg23181133	88
HC	cg23181133	81
HC	cg23181133	85
HC	cg23181133	84
HC	cg23181133	81
HC	cg23181133	85
HC	cg23181133	36
HC	cg23181133	54
HC	cg23181133	45
HC	cg23181133	37
HC	cg23181133	43
HC	cg23181133	41
HC	cg23181133	33
HC	cg23181133	36
HC	cg23181133	33
HC	cg23181133	47
HC	cg23181133	43
HC	cg23181133	31
HC	cg23181133	33
HC	cg23181133	18
HC	cg23181133	25
HC	cg23181133	24
HC	cg23181133	26
HC	cg23181133	30
HC	cg23181133	21
HC	cg23181133	24
HC	cg23181133	29
HC	cg23181133	25
HC	cg23181133	20
HC	cg23181133	23
HC	cg23181133	26
HC	cg23181133	21
HC	cg23181133	29
HC	cg23181133	30
HC	cg23181133	26
HC	cg23181133	32
HC	cg23181133	26
